Lynn_Conway	//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Lynn_Conway_July_2006.jpg/200px-Lynn_Conway_July_2006.jpg	Lynn Conway (White Plains, Nova York, 10 de janeiro de 1938) é uma cientista da computação, engenheira elétrica, inventora e ativista transexual estadunidense.1	 Estados Unidos	|Nascidos em 1938|Cientistas da computação dos Estados Unidos|Mulheres cientistas da computação|Inventoras|Inventores dos Estados Unidos|Ativistas dos direitos LGBT dos Estados Unidos|Pessoas transexuais e transgêneras dos Estados Unidos|Cientistas LGBT|	
Manuela_M._Veloso	//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Manuela_Veloso_IMG_2376.jpg/200px-Manuela_Veloso_IMG_2376.jpg	Manuela Maria Veloso é uma professora Herbert A. Simon na Escola de Ciência da Computação na Universidade Carnegie Mellon. Ela foi presidente da AAAI (Associação para o Avanço da Inteligência Artificial) até 2014, e cofundadora e ex-presidente da Federação RoboCup.1 Ela é membro da AAAI, IEEE, a AAAS, e ACM. Veloso é uma especialista internacional em inteligência artificial e robótica.		|Roboticistas dos Estados Unidos|Roboticistas de Portugal|Pesquisadores da inteligência artificial|Alunos da Universidade de Boston|Alunos da Universidade Carnegie Mellon|Professores da Universidade Carnegie Mellon|Fellows da ACM|Alunos do Instituto Superior Técnico|Cientistas da computação de Portugal|Emigrantes portugueses nos Estados Unidos|Mulheres cientistas da computação|	
Margaret_Hamilton	//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Margaret_Hamilton_in_Nothing_Sacred_2.jpg/250px-Margaret_Hamilton_in_Nothing_Sacred_2.jpg	Margaret Hamilton (Cleveland, 9 de dezembro de 1902 — Salisbury, 16 de maio de 1985) foi uma atriz norte-americana que participou do filme O Mágico de Oz, de 1939.	 Norte-americana	|Atores dos Estados Unidos|Portal de Oz|Naturais de Cleveland|	
Margaret_Oakley_Dayhoff	sem foto	A Dr. Margaret Belle (Oakley) Dayhoff (11 de março  de 1925 – 5 de fevereiro de 1983) foi uma físico-química americana e pioneira no campo da bioinformática.1 Dayhoff foi professora no Centro Médico da Universidade de Georgetown e pesquisadora em bioquímica na National Biomedical Research Foundation, onde foi pioneira na aplicação de métodos matemáticos e computacionais ao campo da bioquímica. Ela dedicou sua carreira à aplicação das tecnologias computacionais para promover avanços no campo da biologia e da medicina, em especial  à criação de bases de dados de ácidos nucleicos e proteínas, além de ferramentas para utilizá-las.  Ela obteve seu doutorado na Universidade de Columbia, no Departamento de Química, onde elaborou métodos computacionais para calcular a energia de ressonância molecular de diversos compostos orgânicos. Após passa por pós-doutorados no Instituto Rockefeller Institute (Universidade Rockefeller) e na Universidade de Maryland, e juntou-e ao recém formado National Biomedical Research Foundation em 1959. Foi a primeira mulher a presidir a Biophysical Society, sendo a primeira pessoa a passar tanto pelos cargos de secretária e presidente.2 O trabalho dela originou uma das primeiras matrizes de substituição, Point accepted mutations (PAM). O código de 1 letra utilizado para aminoácidos foi criado por ela, reduzindo o tamanho dos arquivos utilizados para escrever sequências de aminoácidos na era da computação por cartões perfurados.	??	|Nascidos em 1925|Mortos em 1983|Bioquímicos dos Estados Unidos|Mulheres cientistas dos Estados Unidos|Mulheres cientistas da computação|	
Maria_Klawe	//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Maria_Klawe_2015.jpg/200px-Maria_Klawe_2015.jpg	Maria Margaret Klawe (Toronto, 1951) e uma cientista da computação estadunidense nascida no Canadá,1 quinta presidente do Harvey Mudd College (desde 1 de julho de 2006).2		|Nascidos em 1951|Membros da American Mathematical Society|Fellows da ACM|Membros da Academia de Artes e Ciências dos Estados Unidos|Professores da Universidade de Princeton|Professores da Universidade de Toronto|Matemáticos do Canadá|Cientistas da computação dos Estados Unidos|Mulheres cientistas da computação|Mulheres cientistas do Canadá|Mulheres cientistas dos Estados Unidos|Cientistas dos Estados Unidos do século XX|Cientistas dos Estados Unidos do século XXI|Engenheiros dos Estados Unidos do século XX|Matemáticos do século XX|Matemáticos do século XXI|	
Marissa_Mayer	//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Marissa_Mayer_May_2014_%28cropped%29.jpg/200px-Marissa_Mayer_May_2014_%28cropped%29.jpg			|Nascidos em 1975|Pessoas do Google|Professores da Universidade Stanford|Mulheres na engenharia|Mulheres cientistas da computação|Alunos da Universidade Stanford|Naturais de Wausau (Wisconsin)|Funcionários da Yahoo!|	
Mary_Shaw	//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Mary-shaw.png/200px-Mary-shaw.png	Mary Shaw (Pensilvânia, 1943) é uma engenheira de software estadunidense. É professora da cátedra Alan J. Perlis de ciência da computação da Carnegie Mellon School of Computer Science da Universidade Carnegie Mellon, conhecida por seu trabalho no campo da arquitetura de software.12	 Estadunidense	|Nascidos em 1943|Professores da Universidade Rice|Professores da Universidade Carnegie Mellon|Mulheres cientistas da computação|Cientistas da computação dos Estados Unidos|Alunos da Universidade Rice|Alunos da Universidade Carnegie Mellon|Naturais da Pensilvânia|	
Nancy_Hafkin	//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Nancy_Hafkin_2013.jpg/200px-Nancy_Hafkin_2013.jpg	Nancy Hafkin é uma pioneira em redes de computadores e desenvolvimento da informação e comunicação eletrônica na África,12 estimulando o Pan African Development Information System (PADIS) da United Nations Economic Commission for Africa (UNECA) de 1987 a 1997.	África do Sul	|Internet Hall of Fame|Cientistas da computação da África do Sul|Mulheres cientistas da computação|	
Nancy_Lynch	sem foto	Nancy Ann Lynch (1948) é uma informática estadunidense.	 Estadunidense	|Nascidos em 1948|Prêmio Knuth|Prêmio Dijkstra|Fellows da ACM|Professores do Instituto de Tecnologia de Massachusetts|Professores do Instituto de Tecnologia da Geórgia|Matemáticos dos Estados Unidos|Mulheres cientistas da computação|Alunos do Instituto de Tecnologia de Massachusetts|	
Nicola_Pellow	//upload.wikimedia.org/wikipedia/commons/5/5a/NPellow.jpg	Nicola Pellow foi membro do Projeto WWW no CERN, trabalhando com  Tim Berners-Lee.1		|Pioneiras da Internet|Programadores|Matemáticos|Mulheres cientistas da computação|	
